tt0059900	nm1052658	1	actor	NULL 	["Adam"] 	NULL
tt0059900	nm0937760	2	actor	NULL 	["Tember"] 	https://image.tmdb.org/t/p/{width_variable}/h2hAJ0RLJ4Xx08EaTsCuUrDwQvj.jpg
tt0059900	nm0472545	3	actor	NULL 	["Konstantin"] 	https://image.tmdb.org/t/p/{width_variable}/4qfxHPHzQhmNHXtVB6AuXIXZISf.jpg
tt0059900	nm0334635	4	actress	NULL 	["Caroline"] 	https://image.tmdb.org/t/p/{width_variable}/yUFoiSKJHVdcuWqVcjuiXz6AjvF.jpg
tt0059900	nm0351586	5	director	NULL 	NULL 	https://image.tmdb.org/t/p/{width_variable}/qol1P8EmjMQIXHrTbIeDRm3rRc7.jpg
tt0059900	nm0778360	6	writer	NULL 	NULL 	NULL
tt0059900	nm0624150	7	composer	NULL 	NULL 	NULL
tt0059900	nm0340497	8	cinematographer	NULL 	NULL 	NULL
tt0059900	nm0771858	9	editor	NULL 	NULL 	NULL
tt0065188	nm0098390	10	production_designer	NULL 	NULL 	NULL
tt0065188	nm0286367	1	actor	NULL 	["Vojta"] 	https://image.tmdb.org/t/p/{width_variable}/sLcHD4HNl6bDqo2zvR4xS3UnPzX.jpg
tt0065188	nm0525656	2	actress	NULL 	["Anezka"] 	https://image.tmdb.org/t/p/{width_variable}/bjwSxzsB2VQe09t09otThYqHBOH.jpg
tt0065188	nm0230866	3	actress	NULL 	["Blazena"] 	NULL
tt0065188	nm0953822	4	actor	NULL 	["Lojza"] 	https://image.tmdb.org/t/p/{width_variable}/4eXMDdzHhbipOdalzO7CGn5RNa9.jpg
tt0065188	nm0878702	5	director	NULL 	NULL 	https://image.tmdb.org/t/p/{width_variable}/rshRHHG5voW4KrojReCIF8Y17Ed.jpg
tt0065188	nm0434141	6	writer	screenplay 	NULL 	NULL
tt0065188	nm0815785	7	writer	screenplay 	NULL 	NULL
tt0065188	nm1413539	8	composer	NULL 	NULL 	NULL
tt0065188	nm0532709	9	editor	NULL 	NULL 	NULL
tt0067460	nm0091430	1	self	NULL 	["Self"] 	https://image.tmdb.org/t/p/{width_variable}/6TiG3ItMvehkprMTdIDvWZD7jZv.jpg
tt0067460	nm0155034	2	self	NULL 	["Self"] 	NULL
tt0067460	nm0821041	3	self	NULL 	["Self"] 	https://image.tmdb.org/t/p/{width_variable}/f1MchlCMVc4LDWEALsodZHPkbIu.jpg
tt0067460	nm0821043	4	self	NULL 	["Self"] 	https://image.tmdb.org/t/p/{width_variable}/aHGIAA6jwGxZXFGtd5N2gVjXNcO.jpg
tt0067460	nm0254945	5	producer	producer 	NULL 	NULL
tt0067460	nm0475101	6	producer	producer 	NULL 	NULL
tt0067460	nm0006165	7	composer	NULL 	NULL 	https://image.tmdb.org/t/p/{width_variable}/f9HjW8Y0cI3lVZ2779wOvxUuWaU.jpg
tt0067460	nm0005644	8	cinematographer	NULL 	NULL 	https://image.tmdb.org/t/p/{width_variable}/iZonD2w5n4DVDzpWH5AzfKgHOb2.jpg
tt0067460	nm0949422	9	editor	NULL 	NULL 	NULL
tt0068494	nm0496571	1	actor	NULL 	["Doug"] 	NULL
tt0068494	nm0792032	2	actress	NULL 	["Tara"] 	NULL
tt0068494	nm2866691	3	actor	NULL 	NULL 	NULL
tt0068494	nm2865979	4	actor	NULL 	NULL 	NULL
tt0068494	nm0643443	5	director	NULL 	NULL 	NULL
tt0068494	nm2784719	6	composer	NULL 	NULL 	NULL
tt0068494	nm0676286	7	cinematographer	NULL 	NULL 	NULL
tt0068494	nm2867782	8	editor	NULL 	NULL 	NULL
tt0070501	nm0487508	1	actress	NULL 	["María"] 	NULL
tt0070501	nm3012589	2	actor	NULL 	["Juan Carlos"] 	NULL
tt0070501	nm5672626	3	actress	NULL 	["Mirta"] 	NULL
tt0070501	nm0033058	4	actor	NULL 	["Lodger"] 	https://image.tmdb.org/t/p/{width_variable}/8qUN7ce0f8MQr93hZeX7WaaBAgb.jpg
tt0070501	nm0749914	5	director	NULL 	NULL 	https://image.tmdb.org/t/p/{width_variable}/gsJkcICbmk1GCi3EkDkxE6qZcpe.jpg
tt0070501	nm0481040	6	writer	novel 	NULL 	NULL
tt0070501	nm1097480	7	composer	NULL 	NULL 	NULL
tt0070501	nm0129028	8	cinematographer	NULL 	NULL 	https://image.tmdb.org/t/p/{width_variable}/19DO1o10TVKhqkGHUvt65FvLj0X.jpg
tt0070501	nm0681196	9	editor	NULL 	NULL 	NULL
tt0073481	nm0000518	1	actor	NULL 	["Deeley"] 	https://image.tmdb.org/t/p/{width_variable}/5coH0AExljEnbseCXKL4CDOVQj8.jpg
tt0073481	nm0625075	2	actress	NULL 	["Kate"] 	https://image.tmdb.org/t/p/{width_variable}/a2BUOy9A9WlvTfe8s4gn0MZfPa5.jpg
tt0073481	nm0001669	3	actress	NULL 	["Anna"] 	https://image.tmdb.org/t/p/{width_variable}/2IEW3fxqHb4AHBl5xU8JuipJbNK.jpg
tt0073481	nm0193508	4	director	NULL 	NULL 	https://image.tmdb.org/t/p/{width_variable}/7gQqZO7uoHNrHX6IZfCLCtXBDkU.jpg
tt0073481	nm0056217	5	writer	play 	NULL 	https://image.tmdb.org/t/p/{width_variable}/w0ItHr1DFWT01i07354nFZ3cX04.jpg
tt0073481	nm0760255	6	composer	NULL 	NULL 	NULL
tt0073481	nm0693975	7	editor	NULL 	NULL 	NULL
tt0073481	nm0331540	8	production_designer	NULL 	NULL 	NULL
tt0077432	nm1164655	10	actor	NULL 	NULL 	NULL
tt0077432	nm0504973	1	actor	NULL 	NULL 	NULL
tt0077432	nm0160823	2	actress	NULL 	NULL 	https://image.tmdb.org/t/p/{width_variable}/aYXVaGG4vqtBVibF53s8yxLUNH5.jpg
tt0077432	nm0594226	3	actor	NULL 	NULL 	https://image.tmdb.org/t/p/{width_variable}/cCmCh5D3bRA1dZ7xKGH5pBjkyQf.jpg
tt0077432	nm3997864	4	actor	NULL 	NULL 	NULL
tt0077432	nm0839288	5	director	NULL 	NULL 	NULL
tt0077432	nm1150921	6	writer	screenplay 	NULL 	NULL
tt0077432	nm3992583	7	producer	producer 	NULL 	NULL
tt0077432	nm0530903	8	actor	NULL 	NULL 	NULL
tt0077432	nm0465062	9	actor	NULL 	NULL 	NULL
tt0078006	nm0000035	10	composer	NULL 	NULL 	https://image.tmdb.org/t/p/{width_variable}/g2C3Fb4fHCU2gnqUcwTQCv5EZc4.jpg
tt0078006	nm0370209	1	actor	NULL 	["Norman"] 	NULL
tt0078006	nm0244139	2	actor	NULL 	["Cameron"] 	NULL
tt0078006	nm0730372	3	actress	NULL 	["Ellen"] 	NULL
tt0078006	nm0625196	4	actor	NULL 	["Young Norman"] 	NULL
tt0078006	nm0333937	5	director	NULL 	NULL 	NULL
tt0078006	nm0643093	6	writer	based on the story by 	NULL 	https://image.tmdb.org/t/p/{width_variable}/uVmHWxfJbioT2jwSoP55erApGDC.jpg
tt0078006	nm0682421	7	writer	screenplay 	NULL 	NULL
tt0078006	nm0455130	8	producer	producer 	NULL 	NULL
tt0078006	nm0703605	9	producer	producer 	NULL 	NULL
tt0080039	nm0001657	1	actor	NULL 	["Captain Daniel Nelson"] 	https://image.tmdb.org/t/p/{width_variable}/dWfotc1X71wNCGyPO9hXpv8U9Gw.jpg
tt0080039	nm0153223	2	actress	NULL 	["General Natasha Alexandrovitch"] 	https://image.tmdb.org/t/p/{width_variable}/t5Y5aLytxdas5EMVTqf93pyYw7j.jpg
tt0080039	nm0001088	3	actor	NULL 	["Commissioner Potts"] 	https://image.tmdb.org/t/p/{width_variable}/if5g03wn6uvHx7F6FxXHLebKc0q.jpg
tt0080039	nm0943978	4	actor	NULL 	["General Spelvin"] 	https://image.tmdb.org/t/p/{width_variable}/n5iLeYpe19ah5zYzooksiArIQZk.jpg
tt0080039	nm0192870	5	director	NULL 	NULL 	NULL
tt0080039	nm0288708	6	writer	original screenplay 	NULL 	NULL
tt0080039	nm0192824	7	producer	producer 	NULL 	NULL
tt0080039	nm0556671	8	cinematographer	NULL 	NULL 	NULL
tt0081008	nm0389846	1	director	NULL 	NULL 	NULL
tt0081145	nm0005777	10	cinematographer	NULL 	NULL 	NULL
tt0081145	nm0000732	1	actor	NULL 	["Harry"] 	https://image.tmdb.org/t/p/{width_variable}/e7Q6hgWilShqGZ572ByWF9eshMm.jpg
tt0081145	nm0958406	2	actor	NULL 	["Gary"] 	NULL
tt0081145	nm0001592	3	actor	NULL 	["Roy"] 	https://image.tmdb.org/t/p/{width_variable}/cXMOad9KKVBK1lg8EjEbcNPn1OT.jpg
tt0081145	nm0001550	4	actress	NULL 	["Rose"] 	https://image.tmdb.org/t/p/{width_variable}/g5pXUDGH30egsCq9eTDrsikFAYk.jpg
tt0081145	nm0193303	5	director	NULL 	NULL 	https://image.tmdb.org/t/p/{width_variable}/sZhCvP3WCdaRHcuW1xj1bxsVNjn.jpg
tt0081145	nm0169785	6	writer	novel "Taking Gary Feldman" 	NULL 	NULL
tt0081145	nm0849601	7	writer	screenplay 	NULL 	NULL
tt0081145	nm0521011	8	producer	producer 	NULL 	https://image.tmdb.org/t/p/{width_variable}/3qFgMGUcFcuPsFCnsa6saDqMj60.jpg
tt0081145	nm0006013	9	composer	NULL 	NULL 	https://image.tmdb.org/t/p/{width_variable}/pctpQ4sJhRSblesc1MtduaINl8S.jpg
tt0081436	nm0525938	1	director	NULL 	NULL 	NULL
tt0081721	nm0303592	10	production_designer	NULL 	NULL 	NULL
tt0081721	nm0001409	1	actor	NULL 	["Vincent Van Gogh"] 	https://image.tmdb.org/t/p/{width_variable}/jrtGiLYaALwDZgF39Hlgb8O1XZ1.jpg
tt0081721	nm0678113	2	actress	NULL 	["Josephine Tetley 'Jo'"] 	NULL
